Date,Price,Open,High,Low,Vol.,Change %,,,,,,,,
06-12-2024,"1,612.20","1,640.00","1,640.10","1,608.60",5.01K,-0.71%,,,,,,,,
05-12-2024,"1,623.80","1,612.90","1,641.65","1,612.90",3.47K,-0.09%,,,,,,,,
04-12-2024,"1,625.30","1,621.95","1,634.00","1,608.00",5.01K,1.06%,,,,,,,,
03-12-2024,"1,608.25","1,574.50","1,619.00","1,560.45",12.54K,2.03%,,,,,,,,
02-12-2024,"1,576.30","1,570.05","1,580.30","1,544.50",9.13K,0.48%,,,,,,,,
29-11-2024,"1,568.80","1,545.35","1,577.95","1,540.25",2.76K,1.58%,,,,,,,,
28-11-2024,"1,544.40","1,537.15","1,570.75","1,532.45",5.69K,0.56%,,,,,,,,
27-11-2024,"1,535.85","1,488.05","1,541.25","1,480.15",7.97K,3.23%,,,,,,,,
26-11-2024,"1,487.75","1,495.95","1,499.15","1,471.30",5.49K,0.80%,,,,,,,,
25-11-2024,"1,476.00","1,447.00","1,488.95","1,442.35",10.40K,4.04%,,,,,,,,
22-11-2024,"1,418.70","1,414.55","1,425.10","1,393.25",3.49K,1.48%,,,,,,,,
21-11-2024,"1,397.95","1,423.95","1,423.95","1,387.95",14.02K,-2.99%,,,,,,,,
19-11-2024,"1,441.00","1,468.00","1,509.00","1,431.10",11.15K,-0.96%,,,,,,,,
18-11-2024,"1,455.00","1,485.15","1,494.55","1,437.45",13.22K,-0.12%,,,,,,,,
14-11-2024,"1,456.75","1,468.30","1,490.25","1,452.10",5.43K,-0.71%,,,,,,,,
13-11-2024,"1,467.20","1,501.10","1,515.05","1,459.15",8.11K,-4.02%,,,,,,,,
12-11-2024,"1,528.65","1,568.80","1,568.80","1,456.00",28.12K,-1.47%,,,,,,,,
11-11-2024,"1,551.50","1,569.40","1,571.05","1,540.00",4.94K,-0.98%,,,,,,,,
08-11-2024,"1,566.85","1,614.00","1,617.15","1,559.00",9.38K,-2.92%,,,,,,07-12-2024,06-12-2024,05-12-2024
07-11-2024,"1,614.00","1,632.45","1,650.05","1,606.20",7.31K,-1.13%,,,,,Open,#N/A,1640,1612.9
06-11-2024,"1,632.45","1,605.00","1,635.00","1,595.70",7.45K,2.65%,,,,,High,#N/A,1640.1,1641.65
05-11-2024,"1,590.30","1,581.80","1,612.80","1,575.00",13.25K,-0.19%,,,,,LOW,#N/A,1608.6,1612.9
04-11-2024,"1,593.25","1,631.90","1,632.10","1,575.95",13.33K,-2.40%,,,,,52 WEEK HIGH,2417.3,,
01-11-2024,"1,632.35","1,620.05","1,644.35","1,620.05",0.98K,1.02%,,,,,52 WEEK LOW,1283.85,,
31-10-2024,"1,615.90","1,614.25","1,627.05","1,547.35",7.77K,1.97%,,,,,,,,
30-10-2024,"1,584.70","1,567.20","1,615.30","1,543.40",17.96K,4.73%,,,,,,,,
29-10-2024,"1,513.20","1,533.00","1,548.55","1,501.65",12.54K,0.47%,,,,,,,,
28-10-2024,"1,506.15","1,552.05","1,590.00","1,470.00",73.71K,-4.17%,,,,,,,,
25-10-2024,"1,571.70","1,630.05","1,645.40","1,556.50",28.54K,-3.59%,,,,,,,,
24-10-2024,"1,630.30","1,655.00","1,669.40","1,625.00",12.67K,-1.47%,,,,,,,,
23-10-2024,"1,654.70","1,680.00","1,698.90","1,641.00",11.76K,-1.21%,,,,,,,,
22-10-2024,"1,674.90","1,735.00","1,755.95","1,669.50",3.99K,-4.03%,,,,,,,,
21-10-2024,"1,745.25","1,748.05","1,782.00","1,738.85",11.91K,2.04%,,,,,,,,
18-10-2024,"1,710.35","1,705.00","1,725.00","1,675.40",5.92K,0.35%,,,,,,,,
17-10-2024,"1,704.45","1,769.80","1,769.80","1,696.95",15.38K,-2.59%,,,,,,,,
16-10-2024,"1,749.85","1,793.95","1,793.95","1,741.50",9.40K,-1.41%,,,,,,,,
15-10-2024,"1,774.85","1,783.95","1,790.90","1,769.55",2.29K,-0.47%,,,,,,,,
14-10-2024,"1,783.25","1,800.05","1,800.05","1,759.55",8.16K,0.44%,,,,,,,,
11-10-2024,"1,775.35","1,760.00","1,800.00","1,749.00",11.95K,0.98%,,,,,,,,
10-10-2024,"1,758.20","1,800.60","1,800.60","1,753.70",8.67K,-0.67%,,,,,,,,
09-10-2024,"1,770.10","1,760.00","1,790.00","1,742.85",11.66K,1.57%,,,,,,,,
08-10-2024,"1,742.75","1,701.05","1,748.45","1,693.40",5.51K,1.98%,,,,,,,,
07-10-2024,"1,708.95","1,780.00","1,810.00","1,700.00",10.02K,-4.03%,,,,,,,,
04-10-2024,"1,780.75","1,771.20","1,810.00","1,760.00",14.36K,-0.99%,,,,,,,,
03-10-2024,"1,798.50","1,810.10","1,830.00","1,790.00",16.81K,-2.02%,,,,,,,,
01-10-2024,"1,835.55","1,814.95","1,859.15","1,790.30",22.63K,2.01%,,,,,,,,
30-09-2024,"1,799.40","1,815.40","1,819.90","1,795.00",14.82K,-0.79%,,,,,,,,
27-09-2024,"1,813.65","1,821.25","1,832.95","1,807.85",16.05K,-0.41%,,,,,,,,
26-09-2024,"1,821.20","1,855.00","1,873.20","1,810.90",24.31K,-1.25%,,,,,,,,
25-09-2024,"1,844.30","1,874.30","1,874.30","1,827.70",11.91K,-0.72%,,,,,,,,
24-09-2024,"1,857.75","1,875.00","1,884.35","1,840.00",15.11K,-0.69%,,,,,,,,
23-09-2024,"1,870.60","1,927.00","1,935.00","1,857.85",19.28K,-1.27%,,,,,,,,
20-09-2024,"1,894.65","1,964.45","1,964.45","1,887.00",24.59K,-3.27%,,,,,,,,
19-09-2024,"1,958.70","1,972.45","1,980.75","1,925.70",6.60K,-0.38%,,,,,,,,
18-09-2024,"1,966.10","1,998.95","2,016.80","1,957.75",8.79K,-0.77%,,,,,,,,
17-09-2024,"1,981.35","2,024.50","2,064.20","1,974.95",18.40K,-2.13%,,,,,,,,
16-09-2024,"2,024.50","2,050.85","2,060.00","2,012.75",22.91K,-1.10%,,,,,,,,
13-09-2024,"2,047.00","2,010.05","2,090.00","2,010.05",59.49K,2.60%,,,,,,,,
12-09-2024,"1,995.05","1,950.00","2,090.00","1,950.00",83.32K,3.29%,,,,,,,,
11-09-2024,"1,931.50","1,939.95","1,969.00","1,904.05",19.99K,-0.16%,,,,,,,,
10-09-2024,"1,934.65","1,926.20","1,937.00","1,898.05",4.47K,1.76%,,,,,,,,
09-09-2024,"1,901.25","1,922.00","1,926.20","1,877.30",3.64K,-0.16%,,,,,,,,
06-09-2024,"1,904.30","1,935.05","1,959.55","1,901.75",4.80K,-1.87%,,,,,,,,
05-09-2024,"1,940.65","1,906.20","1,985.00","1,906.20",19.49K,1.07%,,,,,,,,
04-09-2024,"1,920.05","1,903.25","1,941.00","1,882.60",14.37K,0.72%,,,,,,,,
03-09-2024,"1,906.25","1,890.90","1,954.55","1,889.50",11.57K,0.84%,,,,,,,,
02-09-2024,"1,890.40","1,919.80","1,925.00","1,881.05",10.59K,-1.52%,,,,,,,,
30-08-2024,"1,919.50","1,923.15","1,943.95","1,905.75",13.70K,-0.15%,,,,,,,,
29-08-2024,"1,922.30","1,964.90","1,964.90","1,902.10",12.77K,-1.61%,,,,,,,,
28-08-2024,"1,953.75","1,919.40","2,011.85","1,912.00",30.15K,2.91%,,,,,,,,
27-08-2024,"1,898.45","1,880.05","1,913.20","1,880.00",9.50K,0.32%,,,,,,,,
26-08-2024,"1,892.45","1,911.40","1,929.95","1,882.50",9.01K,-0.85%,,,,,,,,
23-08-2024,"1,908.70","1,930.00","1,935.00","1,902.00",7.34K,-1.16%,,,,,,,,
22-08-2024,"1,931.15","1,935.00","1,959.85","1,917.30",3.84K,0.70%,,,,,,,,
21-08-2024,"1,917.70","1,935.00","1,935.00","1,911.00",3.29K,-0.36%,,,,,,,,
20-08-2024,"1,924.60","1,949.90","1,959.00","1,919.05",11.99K,-0.80%,,,,,,,,
19-08-2024,"1,940.05","1,914.80","1,968.75","1,903.85",15.53K,1.61%,,,,,,,,
16-08-2024,"1,909.35","1,929.40","1,929.40","1,897.05",5.23K,0.60%,,,,,,,,
14-08-2024,"1,897.95","1,927.40","1,927.40","1,864.00",10.38K,-0.24%,,,,,,,,
13-08-2024,"1,902.50","1,868.45","1,998.75","1,851.00",35.08K,3.58%,,,,,,,,
12-08-2024,"1,836.70","1,827.95","1,866.05","1,807.25",7.70K,-0.46%,,,,,,,,
09-08-2024,"1,845.10","1,863.30","1,882.00","1,823.45",25.34K,-0.04%,,,,,,,,
08-08-2024,"1,845.85","1,895.70","1,910.35","1,840.55",7.96K,-0.97%,,,,,,,,
07-08-2024,"1,863.95","1,822.05","1,876.70","1,821.65",14.28K,2.97%,,,,,,,,
06-08-2024,"1,810.25","1,865.15","1,950.60","1,799.00",32.57K,-2.67%,,,,,,,,
05-08-2024,"1,859.90","1,861.05","1,914.75","1,852.00",49.92K,-4.57%,,,,,,,,
02-08-2024,"1,949.00","1,996.05","2,010.00","1,935.00",26.53K,-3.70%,,,,,,,,
01-08-2024,"2,023.85","2,043.30","2,086.90","2,018.70",10.16K,-1.03%,,,,,,,,
31-07-2024,"2,044.90","2,108.85","2,159.00","2,000.00",26.73K,-2.79%,,,,,,,,
30-07-2024,"2,103.50","2,100.00","2,140.00","2,074.00",23.91K,0.67%,,,,,,,,
29-07-2024,"2,089.40","2,050.00","2,096.00","2,036.00",46.18K,3.06%,,,,,,,,
26-07-2024,"2,027.30","2,001.00","2,072.65","2,001.00",23.74K,1.08%,,,,,,,,
25-07-2024,"2,005.60","1,992.90","2,026.55","1,954.45",6.08K,0.80%,,,,,,,,
24-07-2024,"1,989.60","1,951.00","2,037.55","1,951.00",17.38K,2.60%,,,,,,,,
23-07-2024,"1,939.10","2,000.00","2,009.55","1,883.00",51.75K,-2.52%,,,,,,,,
22-07-2024,"1,989.25","1,949.40","1,998.00","1,915.10",28.07K,2.03%,,,,,,,,
19-07-2024,"1,949.60","2,030.00","2,043.15","1,930.00",18.89K,-3.96%,,,,,,,,
18-07-2024,"2,030.05","2,108.95","2,108.95","2,021.00",38.04K,-2.72%,,,,,,,,
