Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
06-Dec-24,EQ,"1,643.90","1,643.90","1,608.00","1,622.80","1,614.00","1,611.35","1,618.08","2,095.00","1,388.00","81,145","13,12,99,039.60","8,480"
05-Dec-24,EQ,"1,633.00","1,643.60","1,617.00","1,626.60","1,619.20","1,622.80","1,626.47","2,095.00","1,388.00","54,493","8,86,31,319.90","8,343"
04-Dec-24,EQ,"1,609.35","1,637.00","1,602.60","1,609.35","1,628.20","1,626.60","1,621.77","2,095.00","1,388.00","73,077","11,85,13,784.15","10,347"
03-Dec-24,EQ,"1,565.05","1,619.00","1,561.60","1,575.55","1,601.00","1,609.35","1,603.12","2,095.00","1,388.00","80,097","12,84,05,460.35","11,354"
02-Dec-24,EQ,"1,584.00","1,584.00","1,545.60","1,568.20","1,574.00","1,575.55","1,569.16","2,095.00","1,388.00","62,828","9,85,87,278.50","8,750"
29-Nov-24,EQ,"1,554.00","1,580.00","1,540.00","1,545.45","1,570.00","1,568.20","1,562.32","2,095.00","1,388.00","82,777","12,93,23,839.95","11,940"
28-Nov-24,EQ,"1,547.25","1,572.85","1,527.40","1,536.70","1,548.95","1,545.45","1,553.76","2,095.00","1,388.00","76,836","11,93,84,614.10","11,514"
27-Nov-24,EQ,"1,503.45","1,543.25","1,479.00","1,488.55","1,538.00","1,536.70","1,519.17","2,095.00","1,388.00","91,618","13,91,83,105.25","12,088"
26-Nov-24,EQ,"1,477.55","1,498.95","1,471.45","1,477.55","1,484.00","1,488.55","1,486.95","2,095.00","1,388.00","69,692","10,36,28,828.55","11,385"
25-Nov-24,EQ,"1,446.90","1,487.95","1,440.05","1,418.65","1,475.00","1,477.55","1,463.84","2,095.00","1,388.00","88,306","12,92,65,608.50","15,129"
22-Nov-24,EQ,"1,404.00","1,426.30","1,391.50","1,398.00","1,420.00","1,418.65","1,413.96","2,095.00","1,388.00","86,172","12,18,43,944.00","11,712"
21-Nov-24,EQ,"1,422.25","1,427.65","1,388.00","1,442.00","1,395.00","1,398.00","1,400.76","2,095.00","1,388.00","1,39,130","19,48,87,899.50","18,421"
